,PREFERRED NAME,CASRN,use,SMILES,mw,nheavy,alogp
119,3-chlorophenoxy-alpha-propionamide,5825-87-6,"Herbicide,Plant Growth Regulator",CC(Oc1cccc(Cl)c1)C(N)=O,199.63699999999997,13,1.5925999999999998
120,3-CPA,101-10-0,"Herbicide,Plant Growth Regulator",CC(Oc1cccc(Cl)c1)C(=O)O,200.62099999999998,13,2.1918999999999995
121,3-iodo-2-propynyl butyl carbamate,55406-53-6,"Fungicide,Wood Preservative",CCCCNC(=O)OCC#CI,281.09299999999996,12,1.9086
122,3-Trifluoromethyl-4-nitrophenol,88-30-2,"Breakdown product,Piscicide",O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,207.10699999999994,14,2.3191999999999995
123,"3,3,4,4-tetrachloro tetrahydro thiophene 1,1-dioxide",3737-41-5,Microbiocide,O=S1(=O)CC(Cl)(Cl)C(Cl)(Cl)C1,257.95300000000003,11,1.7626
124,"3,4-Dichloro-5-isothiazolecarboxylic acid",18480-53-0,Microbiocide,O=C(O)c1snc(Cl)c1Cl,198.03,10,2.1481
125,"3,4-Dichlorobenzyl methylcarbamate",2328-31-6,Insecticide,CNC(=O)OCc1cccc(Cl)c1Cl,234.082,14,2.849400000000001
126,"3,4,4-trimethyl oxazolidine",75673-43-7,Microbiocide,CN1COCC1(C)C,115.17599999999999,8,0.6844999999999998
127,"3,5-dibromosalicylanilide",2577-72-2,Microbiocide,O=C(Nc1ccccc1)c1cc(Br)cc(Br)c1O,371.028,18,4.169500000000002
128,"3,5-Diisopropylphenyl methylcarbamate",330-64-3,Insecticide,CNC(=O)Oc1cc(C(C)C)cc(C(C)C)c1,235.32699999999997,17,3.651600000000003
129,"3(2H)-chloro-2-methyl-3(2H)-isothiazolone, calcium chloride complex",57373-19-0,Microbiocide,Cn1sc(Cl)cc1=O,149.602,8,1.1002
130,4 or 6-chloro-2-phenylphenol,53537-62-5,Microbiocide,Oc1c(Cl)cccc1-c1ccccc1,204.656,14,3.712600000000002
131,4-(((Dimethylamino)methylene)amino)-m-tolyl methylcarbamate,17702-57-7,Insecticide,CNC(=O)Oc1ccc(N=CN(C)C)c(C)c1,235.28699999999998,17,1.93462
132,4-(2-nitrobutyl) morpholine,2224-44-4,Microbiocide,CCC(CN1CCOCC1)[N+](=O)[O-],188.22699999999998,13,0.37390000000000034
133,"4-(2,4-DB), butoxyethanol ester",32357-46-3,Herbicide,CCCCOCCOC(=O)CCCOc1ccc(Cl)cc1Cl,349.254,22,4.512300000000004
134,"4-(Methylamino)-3,5-xylyl methylcarbamate",10389-50-1,Insecticide,CNC(=O)Oc1cc(C)c(NC)c(C)c1,208.261,15,2.06334
135,"4-(Methylformamido)-3,5-xylyl methylcarbamate",10233-94-0,Insecticide,CNC(=O)Oc1cc(C)c(N(C)C=O)c(C)c1,236.271,17,1.6142400000000001
136,4-(Methylthio)-m-tolyl methylcarbamate,3566-00-5,Insecticide,CNC(=O)Oc1ccc(SC)c(C)c1,211.28599999999997,14,2.4351200000000004
137,"4-Amino-3,5-xylyl methylcarbamate",831-76-5,Insecticide,CNC(=O)Oc1cc(C)c(N)c(C)c1,194.23399999999998,14,1.6038400000000002
138,4-aminopyridine,504-24-5,Avicide,Nc1ccncc1,94.11699999999999,7,0.6638000000000001
139,"4-chloro-2-cyclopentyl phenol, potassium salt",35471-38-6,"Fungicide,Microbiocide",Oc1ccc(Cl)cc1C1CCCC1,196.67699999999996,13,3.7032000000000016
140,4-chloro-2-cyclopentylphenol,13347-42-7,"Fungicide,Microbiocide",Oc1ccc(Cl)cc1C1CCCC1,196.67699999999996,13,3.7032000000000016
141,4-chloro-2-n-octyl-3(2H)-isothiazolone,64359-80-4,Microbiocide,CCCCCCCCn1scc(Cl)c1=O,247.791,15,3.923700000000003
142,4-chloro-2-phenylphenol,607-12-5,Microbiocide,Oc1ccc(Cl)cc1-c1ccccc1,204.65600000000003,14,3.712600000000002
143,"4-chloro-2-phenylphenol, potassium salt",53404-21-0,Microbiocide,Oc1ccc(Cl)cc1-c1ccccc1,204.65600000000003,14,3.712600000000002
144,"4-chloro-2-phenylphenol, sodium salt",10605-10-4,Microbiocide,Oc1ccc(Cl)cc1-c1ccccc1,204.65600000000003,14,3.712600000000002
145,"4-chloro-cyclopentylphenol, sodium salt",53404-20-9,"Fungicide,Microbiocide",Oc1ccc(Cl)cc1C1CCCC1,196.67699999999996,13,3.7032000000000016
146,"4-hydroxy-2,5-dimethyl-3-(2H)furanone",3658-77-3,Insecticide,CC1=C(O)C(=O)C(C)O1,128.12699999999998,9,0.7637
147,"4,4-(2-ethyl-2-nitrotrimethylene) dimorpholine",1854-23-5,Microbiocide,CCC(CN1CCOCC1)(CN1CCOCC1)[N+](=O)[O-],287.35999999999996,20,0.07630000000000225
148,"4,4-dimethyl oxazolidine",51200-87-4,"Impurity,Microbiocide",CC1(C)COCN1,101.149,7,0.3422999999999999
149,"4,4-dimethyl-2-oxazolidinone",26654-39-7,Microbiocide,CC1(C)COC(=O)N1,115.13199999999999,8,0.5047999999999999
150,"4,5-dibromosalicylanilide",87-12-7,Microbiocide,O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O,371.028,18,4.169500000000001
151,"4,5-dichloro-2-n-octyl-3(2H)-isothiazolone",64359-81-5,"Antifoulant,Microbiocide",CCCCCCCCn1sc(Cl)c(Cl)c1=O,282.23600000000005,16,4.577100000000004
152,"4,6-dichloro-2-phenylphenol",5335-24-0,Microbiocide,Oc1c(Cl)cc(Cl)cc1-c1ccccc1,239.101,15,4.366000000000001
153,"4,6-dichloro-2-phenylphenol, potassium salt",53404-30-1,Microbiocide,Oc1c(Cl)cc(Cl)cc1-c1ccccc1,239.101,15,4.366000000000001
154,4'-hydroxy-m-phenoxy benzoic acid,35065-12-4,"Fungicide,Microbiocide",O=C(O)c1cccc(Oc2ccc(O)cc2)c1,230.219,17,2.8827000000000007
155,"5-Benzyl-3-furylmethyl (+)-cis-(1R,3S,E)2,2-dimethyl-3-(2-oxo-2,3,4,5-tetrahydrothiophenylidenemethyl)cyclopropanecarboxylate",58769-20-3,Insecticide,CC1(C)C(C(=O)OCc2coc(Cc3ccccc3)c2)[C@H]1/C=C1\CCSC1=O,396.50800000000015,28,4.775700000000005
156,"5-Bromo-2-methyl-5-nitro-1,3-dioxane",53983-00-9,Microbiocide,CC1OCC(Br)([N+](=O)[O-])CO1,226.02599999999998,11,0.7471
157,5-chloro-2-(4-chlorophenylmethyl)-3(2H)-isothiazolone,66159-95-3,Microbiocide,O=c1cc(Cl)sn1Cc1ccc(Cl)cc1,260.145,15,3.2649000000000017
158,"5-hydroxy methoxy methyl-1-aza-3,7-dioxabicyclo (3.3.0) octane",59720-42-2,Microbiocide,OCOCC12COCN1COC2,175.18399999999997,12,-1.0309999999999997
159,"5-hydroxymethyl-1-aza-3,7-dioxabicyclo (3.3.0) octane",6542-37-6,Microbiocide,OCC12COCN1COC2,145.158,10,-1.0050999999999999
160,"5-hydroxypoly (methyleneoxy) (74%C2, 21%C3, 4%C4, 1%C5) methyl-1-aza-3,7-dioxabicyclo (3.3.0) octane",56709-13-8,Microbiocide,OCOCC12COCN1COC2,175.18399999999997,12,-1.0309999999999997
161,"5,6,7,8-Tetrahydro-1-naphthyl methylcarbamate",1136-84-1,Insecticide,CNC(=O)Oc1cccc2c1CCCC2,205.25699999999992,15,2.2836000000000007
162,6-chloro-2-phenylphenol,85-97-2,Microbiocide,Oc1c(Cl)cccc1-c1ccccc1,204.656,14,3.712600000000002
163,"6-chloro-2-phenylphenol, potassium salt",18128-17-1,Microbiocide,Oc1c(Cl)cccc1-c1ccccc1,204.656,14,3.712600000000002
164,6-chloropicolinic acid,4684-94-0,Herbicide,O=C(O)c1cccc(Cl)n1,157.55599999999998,10,1.4332
